Sentiment,Review,Rating
positive,'Bagus dan murah serta pelayanan cepat',5
positive,"'Lokasi strategis, mudah ditemukan/dilihat saat kondisi jalan padat atau kondusif. Pelayanan sangat baik, pelayan ramah dan juga cepat tanggap. Harga minuman sangat terjangkau, metode payment selain tunai, menerima juga e-money, seperti shopeepay dan lainnya. Tersedia varian rasa dan juga topping, bebas pilih. Soal rasa, bukan selera saya, terlalu manis. Sangat sangat manis. Buat kalian yang akan mencoba, sekedar saran jika tidak terlalu suka manis, sampaikan ke servernya untuk less sugar saja, jadi minuman kalian tidak terlalu manis. Ini adalah review pribadi saya ya, berdasarkan selera saya, jadi jangan kalian samakan dengan selera kalian. Beda lidah beda rasa. Selamat mencoba'",3
positive,"'Minuman andalan sewaktu masih kuliah dulu di UNM, selalu beli Yotta di kantin kampus, sekarang sudah banyak banget cabangnya. Ya gak heran sih, karena Yotta emang minumannya enak, murah, dan beraneka ragam rasanya.'",4
positive,"'bebas parkir paling utama, tempatnya nyaman dan harga lebih murah klw beli ditempat'",5
positive,"'Dekat dari lapangan Emmy Saelan, ramah juga karyawannya. Sukses terus. Harus coba rekomendasiku Choco Cheese Milk + Black Pearl.'",5
positive,"'Salah satu minuman favorit di tempat ini yaitu choco cheese milk. Minuman enak, harga terjangkau, pegawainya juga ramah'",5
negative,"'Parah nipunya... Sy pesan creamy avocado yg datang juice avocado,..'",1
positive,'Bagus sih tempat cerita untuk 2/3 org',5
positive,"'Tempatnya nyaman, Pelayanan ramah, dan memiliki varian minuman yg cocok dikantong Mahasiswa'",5
positive,'Tempatnya nyaman dan bebas parkir plus harganya murah kalau beli langsung disana',4
positive,"'Matcha nyaa paling favorit... Tempat nyantai sejenak sehabis plg ngantor... Tmptnya jg ac nya brfungsi dgn baik. Tiap ke yotta psti pesan menu yg berbeda biar dirasakan smua variannya haha. Tempatnya jg strategis, dua jalur dn jg di pusat kota makassar, dkt dgn bbrp kampusÂ² trmsuk kampusku dlu. Hehe. Aplikasi yotta jg sdh trsedia loo. Good!!!'",5
positive,"'Tempat nyaman, minuman dan makanan enak'",5
positive,"'Tempat nyaman, pelayanan cepat ğŸ‘ğŸ»ğŸ‘ğŸ»'",4
positive,"'Alhamdulillah, minuman favorit di Makassar. tempat adem, miniman enak.'",5
positive,"'Petugasnya sigap, Chocho hazelnut nya nikmat'",5
positive,"'Jgn taro helm diluar, banyak maling. karena gak ada kang parkir dan benerbener dipinggir jalan ramai. pertama kali sy kesini, helm sy ilang. tokonya gapunya cctv jd gabisa liat :('",3
positive,'Rasanya segar apalagi kalau dah capek keliling',5
positive,"'Pelayanannya sudah oke. Hanya tolong perhatikan cup plastiknya saja kadang selalu tidak rapat, pas mau sy shake minuman sy tumpah sebahagian, dikarenakan pres cupnya tidak rapat (terbuka/memiliki celah).'",3
positive,"'Masalah rasa pasti OKELAH, dan pelayanannya cukup baik, tapi sering terjadi antrian karena banyak abang ojol yang jemput orderan di sana.'",4
positive,'Minuman nya enak2 dengan pelayanan yang ramah',5
positive,"'Terletak di daerah jalan Tamalate. Kawasan yang kadang macet ketika pulang kantor atau di sore hari. Lokasi parkirannya cukup sempit karena kawasan ruko termasuk ukuran yang termasuk kategori kecil. Untuk bagian dalam lokasi nyaman, warnanya cerah dan suasananya bersih. Hanya sering terjadi antrian di dalam karena pelanggan yang banyak. Harganya termasuk terjangkau untuk harga per cup-nya. Rasanya juga enak'",5
positive,'Mantaap . Lokasi yg mudah di jangkau',5
positive,'Yotta minuman favoritku saat ini.... suka dgn jus mangganya... yotta sudah ready dihampir tiap daerah',3
positive,"'Karyawan anggun dan cantik cantik s moga jadi istriku, eh siapa tau ada yang butuh daging mentah, kami Makassar Daging punya solusinya, tinggal keep, kami antarkan'",5
positive,'Tempatnya keren',5
positive,'Adem. Mungkin bisa diperbesar lagi sampai lantai 2 supaya bisa nongki lama-lama.',5
positive,"'pelayanan ramah, bersih, dan tepat waktu pesanannya jadi'",4
positive,"'Tempatnya nyaman,meskipun parkirannya sulit,tp pelayanannya baik'",3
positive,'Mohon kepada karyawan/karyawati yotta agar lebih teliti lagi dalam menyerahkan pesanan kepada driver tadi saya punya antaran minumnya tidak ditutup atau tidak dipresss',1
positive,'Pelayanan sangat baik. Pelayannya sangat ramah dan professional. Banyak rasa dan tidak bikin bosan. Highly recommended!',5
positive,'Perumahan tentram damai',5
positive,'Pelayanannya BURUK..terutama yg battala itu yg biasa kasir.. tolong owner klu liat..cri karyawan tau arti pelayanan',1
positive,'Ramah pelayanan..gercep..dan banyak pilihan minuman',5
positive,'Pelayanan paling buruk yg pernah saya temui.. karyawan mukanya kacci2 aseng..kayak jeruk nipis',1
positive,"'Varian menunya lumayan lengkap, favorit creamy avocado mantap porsinya ngga pelit'",4
positive,'Minumannya banyak pilihan dan sangat mudah plus enak2',5
positive,'Enak baru murah',5
positive,'Mulai parah ini pelayanan yotta karyawan/karyawatinya kerja atau apa atau atasannya kerjanya cman tidur atau cuman nongol duduk',1
positive,'Enak sih walaupun agak mahal dikit dibamding produk sebelah',5
positive,'Menu minuman d restoonya enak2 n karyawannya ramah2ğŸ˜Š',5
positive,"'Tempatnya bagus, minumannya enak'",5
positive,'Nyaman. Cuma susah cari parkiran untuk kendaraan besar',4
positive,"'Pelayanannya makin lama, tidak seperti sebelumnya'",3
positive,'Suka krna berbagi juga kemarin pas launcing App.Nya',5
positive,"'Suka, rasanya enak, manisnya pas, pokoknya recomended'",5
positive,"'Varian rasa banyak, harganya lumayan terjangkau'",4
positive,'Tempatnya tenang dan nyaman',5
positive,'Cemilan enak & hemat hanya disini',5
positive,'Bagus kok',4
positive,'Anak3 pada suka',5
positive,'Menunya beragam dan sangat enak.',5
positive,'ğŸ¥°ğŸ¥°',5
positive,'Minumannya enak & harganya terjangkau ğŸ˜ŠğŸ‘',5
positive,'Pelayanan yg ramah',5
positive,"'Ramai, pelayanan nya baik'",4
positive,'Pelayanan buruk.. karyawan jutek abis ğŸ‘ğŸ‘',1
positive,"'Tempan Nyaman, Santai'",5
positive,'Enak sama seperti yotta lainnya',5
positive,'Choco hazelnut nya the best',5
positive,'Tempat nyaman dan bersih',5
positive,"'Mantap, alpukat topping oreo terbaik'",5
positive,'Pelayanan yg bagus',5
positive,'sukak bngtğŸ˜­ sumpah fav aku crazy oreo vanilla',5
positive,"'Apapun makanannya, minumannya ya yotta'",5
positive,'parkiran untuk mobil kurang memadai',3
positive,'Harga sesuai kantong mahasiswa ğŸ˜‰',5
positive,'Lambat pelayanannya',1
positive,'okelah',3
positive,'Keren...muantap',5
positive,"'Pelayananan kurang, parkiran tidak bagus'",3
positive,'Kasirnya ramah',5
positive,'tempatnya nyaman dan bersih',5
positive,'Terbaik di kelasnya',5
positive,'Minumannya mantap',5
positive,'Lambat pelayanan',1
positive,'Tempatnya nyaman untuk mengantri',5
positive,'Pelayanan super cepat',5
positive,'Toko gadai',5
positive,'Mantaapp sangat membantu',5
positive,'Agen penyedia jasa',5
positive,'ğŸ‘ğŸ‘',5
positive,"'Harga murah, rasa juara'",5
positive,'Cepat penyajianx',5
positive,'Otletnya bersih',5
positive,'Sesuai titik',5
positive,'Pelayanan bagus',5
positive,'Minumannya Mantul',5
positive,'ğŸ‘ğŸ¤©',5
positive,'ğŸ‘',5
positive,'Ini mahhh kesukaan anak anak sy',4
positive,'Masya Allah',5
positive,'Suka sekali',5
positive,'Sangat ğŸ‘Baik dan cepat',5
positive,'Mantap ah',5
positive,'Enak dan cepat',5
positive,'Ramai',5
positive,'Semangat ku :)',5
positive,'Jajanan istri',5
positive,'Kunjungan kerjaa',5
positive,'Minuman Bubble Tea Makassar',5
positive,'Enak nyaman',5
positive,'Asyik',5
positive,'Mantap ğŸ‘',4
positive,'Setuju',5
positive,'Mantap',4
positive,'mantapppp',5
positive,'Bagus',5
positive,'enakk',5
positive,'Syukaaakkk bangetttt',5
positive,'Mantap mantap',5
positive,'Bersih',5
positive,'Kurang mengigit',3
positive,'Lumayan',3
positive,'SEMANGAT YOOO',5
positive,'Enak dan murah',5
positive,'Baik',5
positive,'Mantap',5
positive,'Segar',5
positive,'bagus',5
positive,'Mantap',5
positive,'Bagus',5
positive,'Mantap',5
positive,'Sip',5
positive,'Rekomended',5
positive,'Sip',5